"cnpj","dataReferencia","codigoCVM","codigoCVM2","codigoCVMsemDigito","dataConstituicao","nomeEmpresarial","especieControleAcionario","mesEncerraExercSocial","setorCVM","descricaoAtividade"
"51.218.147/0001-93",2023-01-01,20494,"20494","2049","1979-05-23","IGUATEMI EMPRESA DE SHOPPING CENTERS S.A","Privado",12,"Comércio (Atacado e Varejo)","Empresa full service no setor de shopping centers. Suas atividades englobam a concepção, oplanejamento, o desenvolvimento e a administração de shopping centers regionais e complexosimobiliários."
"14.807.945/0001-24",2023-01-01,12696,"12696","1269","1979-10-03","SANSUY S.A. INDUSTRIA DE PLASTICOS","Privado",12,"Petroquímicos e Borracha","INDÚSTRIA E COMÉRCIO DE ARTEFATOS PLÁSTICOS"
"51.128.999/0001-90",2023-01-01,21334,"21334","2133","1979-10-16","NUTRIPLANT INDUSTRIA E COMERCIO S.A.","Privado",12,"Agricultura (Açúcar, Álcool e Cana)","Industria e comércio de fertilizantes para agricultura."
"59.981.829/0001-65",2023-01-01,25801,"25801","2580","1979-11-19","Rodobens SA","Privado Holding",12,"Máquinas, Equipamentos, Veículos e Peças","(i) a participação no capital social de outras sociedades (ii) a alocação e a gestão de recursos próprios e (iii) a consultoria estratégica e de gestão de negócios."
"43.470.988/0001-65",2023-01-01,20524,"20524","2052","1980-05-05","EVEN CONSTRUTORA E INCORPORADORA S.A.","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Construção, incorporação e loteamento."
"30.723.886/0001-62",2023-01-01,25755,"25755","2575","1980-07-29","BANCO MODAL S.A.","Privado",12,"Bancos","A Companhia tem por objeto social a prestação de serviços de banco múltiplo, nas carteiras comercial e de investimento, bem com realização de operações no mercado de câmbio."
"89.463.822/0001-12",2023-01-01,20060,"20060","2006","1980-08-08","LUPATECH S.A","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Fabricante de equipamentos e provedor de serviços para o setor de Petróleo e Gás."
"75.315.333/0001-09",2023-01-01,24171,"24171","2417","1980-08-13","ATACADÃO S.A.","Estrangeiro",12,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","Comércio varejista e atacadista de mercadorias em geral Carga e descarga Correspondentes de instituições financeiras Atividades de teleatendimento Serviços de Alimentação entre outros"
"44.689.123/0001-57",2013-01-01,12220,"12220","1222","1980-10-07","USINA COSTA PINTO SA ACUC ALC","Privado",3,"Agricultura (Açúcar, Álcool e Cana)","Distribuição de combustíveis em geral, a importação, a exportação, a produção e a comercialização de açúcar, de álcool, de cana-de-açúcar e demais derivados destes a navegação exploração agrícola."
"02.635.522/0001-95",2023-01-01,25496,"25496","2549","1980-11-28","Jalles Machado S.A.","Privado",3,"Agricultura (Açúcar, Álcool e Cana)","Exploração agrícola industrial e comercial em todas as suas modalidades, especialmente no que diz respeito à produção de cana-de-açúcar, seus subprodutos, em especial do açúcar e do álcool."
"27.093.558/0001-15",2023-01-01,22012,"22012","2201","1980-12-01","MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.","Privado Holding",12,"Serviços Transporte e Logística","Locação e venda de peças, máquinas e equipamentos pesados"
"45.242.914/0001-05",2023-01-01,24848,"24848","2484","1981-01-12","C&A Modas S.A.","Privado",12,"Têxtil e Vestuário","Atuação no varejo nos setores de vestuário, acessórios, calçados, higiene, eletrônicos, dentre outros."
"16.614.075/0001-00",2023-01-01,21350,"21350","2135","1981-02-19","DIRECIONAL ENGENHARIA S.A.","Privado Holding",12,"Construção Civil, Mat. Constr. e Decoração","Incorporação, construção e comercialização de imóveis próprios ou de terceiros e prestação de serviços de engenharia."
"06.626.253/0001-51",2023-01-01,22608,"22608","2260","1981-05-19","EMPREENDIMENTOS PAGUE MENOS S.A.","Privado",12,"Comércio (Atacado e Varejo)","Comércio de produtos farmacêuticos, perfumarias e afins, sem manipulação de fórmulas."
"87.762.563/0001-03",2023-01-01,3298,"03298","329","1981-09-28","CIA HABITASUL DE PARTICIPACOES","Privado",12,"Emp. Adm. Part. - Crédito Imobiliário","Participação em sociedades, civis ou comerciais prestação de serviços técnicos de planejamento, organização e estruturação de empresas ou grupos empresariais."
"47.509.120/0001-82",2023-01-01,19640,"19640","1964","1981-10-15","BRADESCO LEASING S.A. ARREND MERCANTIL","Privado",12,"Arrendamento Mercantil","Prática das operações de arrendamento mercantil, observadas as disposições da legislação em vigor."
"47.508.411/0001-56",2023-01-01,14826,"14826","1482","1981-11-10","CIA BRASILEIRA DE DISTRIBUICAO","Privado",12,"Comércio (Atacado e Varejo)","Comércio Varejista"
"49.669.856/0001-43",2023-01-01,21440,"21440","2144","1982-04-19","VESTE S.A. ESTILO","Privado",12,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","(a) confecção de produtos em geral, através de terceiros (b) importação e exportação (c) exploração de comércio e indústria de confecção de produtos em geral."
"15.527.906/0001-36",2021-01-01,22845,"22845","2284","1982-09-01","BIOSEV S.A.","Privado",3,"Agricultura (Açúcar, Álcool e Cana)","Produção, processamento, industrialização, distribuição e comercialização de cana-de-açúcar e seus derivados, açúcar e etanol entre outros."
"51.928.174/0001-50",2023-01-01,13471,"13471","1347","1983-08-23","PLASCAR PARTICIPACOES INDUSTRIAIS S.A.","Privado",12,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças","Participação em outras empresas"
"70.216.429/0001-04",2015-01-01,518700,"518700","51870","1983-11-08","BRAMEX - BRASIL MERCANTIL S.A.","Privado",12,"Agricultura (Açúcar, Álcool e Cana)","Criação de camarões em água salgada e salobra, Criação de camarões em água doce."
"53.113.791/0001-22",2023-01-01,19992,"19992","1999","1983-12-13","TOTVS S.A.","Privado",12,"Comunicação e Informática","Prestação de serviços de consultoria, assessoria e desenvolvimento de sistemas informatizados (software), atividades de pesquisa e inovação tecnológica, prestação de serviços relacionados à gestão."
"07.334.600/0001-35",2023-01-01,16268,"16268","1626","1983-12-21","MARINA DE IRACEMA PARK SA","Privado",12,"Hospedagem e Turismo","RAMO TURISTICO, DE HOTELARIA EM GERAL, SERVICOS DE ANCORADOURO E ACOSTAMENTO DE EMBARCACOES DE RECREIO E SERVICO DE SUPRIMENTO AS TRIPUILACOES DAS EMBARCACOES"
"28.195.667/0001-06",2023-01-01,20958,"20958","2095","1983-12-27","BCO ABC BRASIL S.A.","Estrangeiro Holding",12,"Bancos","O Banco tem por objeto a prática de operações ativas, passivas e acessórias inerentes às respectivas carteiras autorizadas pelo Banco Central do Brasil."
"33.937.681/0003-30",2011-01-01,80128,"80128","8012","1983-12-30","Lan Airlines S.A.","Estrangeiro",12,"Serviços Transporte e Logística","Transporte de passageiros e transporte de carga."
"33.937.681/0001-78",2016-01-01,80128,"80128","8012","1983-12-30","LATAM AIRLINES GROUP S.A.","Estrangeiro",12,"Serviços Transporte e Logística","Transporte de passageiros e transporte de carga."
"53.518.684/0001-84",2015-01-01,19755,"19755","1975","1984-02-29","HSBC LEASING ARRENDAMENTO MERCANTIL (BRASIL) S/A","Privado",12,"Arrendamento Mercantil","Prática de todas as operações de arrendamento mercantil, permitidas pela Lei nº 6099, de 12 de setembro de 1974 com as alterações introduzidas pela Lei nº 7132, de 26.10.83, de bens móveis e imóveis d"
"90.076.886/0001-40",2023-01-01,13765,"13765","1376","1984-08-01","MINUPAR PARTICIPACOES S.A.","Privado",12,"Emp. Adm. Part. - Alimentos","Participação em outras empresas, bem como criação, abate, industrialização, comercialização,importação e exportação de carnes e produtos derivados de aves, e prestação de serviços aterceiros."
"53.790.218/0001-53",2017-01-01,12262,"12262","1226","1984-09-11","JPSP INVESTIMENTOS E PARTICIPAÇÕES S/A","Privado",12,"Emp. Adm. Part. - Telecomunicações",""
"00.080.671/0001-00",2023-01-01,26190,"26190","2619","1984-12-28","CARAMURU ALIMENTOS S.A.","Privado",12,"Alimentos","Industrialização, produção, beneficiamento, processamento, comercialização exportação e importação de: cereais, sementes e frutos oleaginosos, insumos agropecuários e Biocombustíveis."
"29.780.061/0001-09",2023-01-01,13781,"13781","1378","1985-01-22","SAO CARLOS EMPREEND E PARTICIPACOES S.A.","Privado",12,"Emp. Adm. Part. - Sem Setor Principal","Compra e venda de imóveis prontos ou a construir locação de bens imóveis administração de empreendimentos imobiliários próprios ou de terceiros exercício de outras atividades correlatas e outros"
"00.994.533/0001-36",2017-01-01,15652,"15652","1565","1985-03-12","COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO","Privado",12,"Serviços Transporte e Logística","Transporte Multimodal de Cargas e Comércio"
"14.388.520/0001-28",2014-01-01,80144,"80144","8014","1985-04-10","Pacific Rubiales Energy Corp.","Privado",12,"Petróleo e Gás","A Companhia tem como principal atividade a exploração, desenvolvimento e produção de petróleo e gás natural na Colômbia, Peru e Guatemala, sendo a maior companhia independente da Colômbia neste setor."
"07.636.657/0001-99",2023-01-01,26425,"26425","2642","1985-05-07","Aço Verde do Brasil S.A","Privado",12,"Metalurgia e Siderurgia","Industrialização, comercialização, inclusive importação e exportação de produtos siderúrgicos, em especial aço e ferro gusa em todas as suas formas e seus subprodutos."
"29.388.352/0001-48",2012-01-01,12840,"12840","1284","1985-05-22","RIMET EMPREEND. INDS. E COMERCIAIS S/A","Privado",12,"Metalurgia e Siderurgia","FABRICAÇÃO DE EMBALGENS METALICAS PARA ACONDICIONAMENTO DE ALIMENTOS, PRODUTOS QUIMICOS, ENTRE OUTROS."
"54.526.082/0001-31",2019-01-01,12530,"12530","1253","1985-06-01","ITAUTEC S.A. - GRUPO ITAUTEC","Privado Holding",12,"Comunicação e Informática","Participação em outras sociedades no País e no exterior, em especial naquelas que atuam na fabricação e comercialização de equipamentos de automações bancária e comercial e na prestação de serviços"
"61.065.751/0001-80",2023-01-01,16306,"16306","1630","1985-06-27","ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Compra e venda de imóveis, desmembramento e loteamento de terrenos, incorporação imobiliária, construção de imóveis destinados à venda, e a participação em outras sociedades."
"28.573.830/0001-27",2016-01-01,20508,"20508","2050","1985-07-09","TAIPE TRANCOSO EMPREENDIMENTOS S/A","Privado",12,"Hospedagem e Turismo","Desenvolvimento e Exploração de Resort em Trancoso - Porto Seguro - Bahia"
"01.468.594/0001-22",2022-01-01,25666,"25666","2566","1985-08-08","LG Informática S.A.","Privado",12,"Comunicação e Informática","Licenciamento/cessão de direito de uso de programas de computador."
"90.400.888/0001-42",2023-01-01,20532,"20532","2053","1985-08-09","BCO SANTANDER (BRASIL) S.A.","Estrangeiro Holding",12,"Bancos","Banco Múltiplo com Carteira Comercial"
"78.876.950/0001-71",2022-01-01,14761,"14761","1476","1985-08-19","CIA HERING","Privado",12,"Têxtil e Vestuário","Confecção de artigos do vestuário e acessórios"
"90.441.460/0001-48",2023-01-01,22780,"22780","2278","1985-09-02","UNICASA INDÚSTRIA DE MÓVEIS S.A.","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Indústria, comércio, prestação de serviços, importação e exportação de produtos relacionados ao ramo de mobiliário em geral, planejado e modulado de madeira, ferro, aço, alumínio e outros materiais."
"29.950.060/0001-57",2023-01-01,22985,"22985","2298","1985-12-20","NORTEC QUÍMICA S.A.","Privado",12,"Farmacêutico e Higiene","Química Fina, Ciências da Vida, fabricantes de Insumos Farmacêuticos Ativos - matéria-prima para a Indústria Farmacêutica"
"79.313.086/0001-62",2011-01-01,14397,"14397","1439","1986-05-12","WIEST SA","Privado Holding",12,"Metalurgia e Siderurgia","Metalurgica"
"22.164.990/0001-36",2015-01-01,22373,"22373","2237","1986-06-01","ELETROSOM S/A","Privado",12,"Comércio (Atacado e Varejo)","comércio atacadista e varejista de máquinas, móveis e aparelhos de uso doméstico, equipamentos eletro-eletrônicos, produtos para informática, artigos para presentes, como brinquedos e utilidades domés"
"79.430.682/0001-22",2023-01-01,25429,"25429","2542","1986-06-26","FARMÁCIA E DROGARIA NISSEI S.A.","Privado",12,"Comércio (Atacado e Varejo)","Comércio varejista de produtos farmacêuticos, alimentos, cosméticos, e outros produtos, bem como o comércio atacadista de medicamentos e materiais em geral."
"22.261.473/0001-85",2023-01-01,25178,"25178","2517","1986-07-15","COMPANHIA DE GÁS DE MINAS GERAIS - GASMIG","Estatal Holding",12,"Saneamento, Serv. Água e Gás","Exploração dos serviços públicos de distribuição de gás canalizado, aquisição, armazenamento, transporte, transmissão, distribuição e comercialização de gás combustível ou de subprodutos e derivados."
"79.655.916/0001-30",2012-01-01,15610,"15610","1561","1986-09-11","CECRISA REVESTIMENTOS CERAMICOS SA","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Indústria e Comércio de Revestimentos Cerâmicos S/A"
"14.998.371/0001-19",2023-01-01,21156,"21156","2115","1986-09-11","J. MACEDO S.A.","Privado",12,"Alimentos","Industrialização de massas alimentícias, farinhas, misturas para bolo domésticas, biscoitos, sobremesas e derivados de trigo."
"56.444.250/0001-75",2023-01-01,14850,"14850","1485","1986-09-16","HAUSCENTER SA","Privado",12,"Emp. Adm. Part. - Sem Setor Principal","ALUGUEL DE IMÓVEIS"
"56.806.656/0001-50",2014-01-01,14559,"14559","1455","1986-12-29","M&G POLIÉSTER SA","Estrangeiro Holding",12,"Emp. Adm. Part. - Petroquímicos e Borracha","Participação e Administração"
"58.119.199/0001-51",2023-01-01,20125,"20125","2012","1987-08-28","ODONTOPREV S.A.","Privado",12,"Serviços médicos","Operadora de planos odontológicos"
"12.049.631/0001-84",2023-01-01,21067,"21067","2106","1987-08-31","MOURA DUBEUX ENGENHARIA S/A","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Compra e venda de imóveis, locação, desmembramento ou loteamento de terrenos,incorporação imobiliária ou construção de imóveis destinados à venda, participação em outrassociedades."
"22.770.366/0001-82",2019-01-01,14133,"14133","1413","1987-09-28","TEC TOY S.A.","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Industr/Com.brinquedos, jogos eletron. e entretenimento"
"16.404.287/0001-55",2023-01-01,13986,"13986","1398","1987-12-08","SUZANO S.A.","Privado",12,"Papel e Celulose","Indústria e Comércio de Papel e Celulose"
"58.430.828/0001-60",2023-01-01,24627,"24627","2462","1987-12-08","Blau Farmacêutica S.A.","Privado",12,"Farmacêutico e Higiene","A Companhia dedica-se à fabricação, comercialização, pesquisa e desenvolvimento de medicamentos de alta complexidade."
"91.820.068/0001-72",2016-01-01,13412,"13412","1341","1988-01-21","ÉVORA SA","Privado",12,"Emp. Adm. Part. - Embalagens","Empresa de administração e participação em negócios de embalagens metálicas e plásticas, nãotecidos de polipropileno e florestamento."
"31.895.683/0001-16",2018-01-01,21377,"21377","2137","1988-03-30","BANCO INDUSTRIAL DO BRASIL","Privado",12,"Bancos","Banco Múltiplo"
"80.680.093/0001-81",2023-01-01,26786,"26786","2678","1988-05-24","Senior Sistemas S.A.","Privado",12,"Comunicação e Informática","Desenvolvimento de programas de computador sob encomenda, consultoria, suporte técnico, manutenção e outros serviços em tecnologia da informação."
"58.877.812/0001-08",2012-01-01,19046,"19046","1904","1988-05-25","BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.","Privado",12,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",""
"32.110.314/0001-33",2011-01-01,14010,"14010","1401","1988-07-28","PREDILETO ALIMENTOS SA","Privado",12,"Alimentos","Moagem de Trigo."
"59.418.806/0001-47",2023-01-01,25208,"25208","2520","1988-08-19","TRACK & FIELD CO S.A.","Privado",12,"Têxtil e Vestuário","Atuação no varejo dos setores de vestuário, acessórios e calçados, dentre outros."
"24.962.466/0001-36",2023-01-01,15300,"15300","1530","1988-09-22","RUMO MALHA NORTE S.A.","Privado",12,"Serviços Transporte e Logística","(i) construção e exploração de sistemas de transporte ferroviário de carga, rodovias e hidrovias (ii) prestação de serviços de transporte de carga em ferrovias, rodovias e hidrovias etc."
"24.956.666/0001-86",2015-01-01,18490,"18490","1849","1988-10-27","CLARION S/A AGROINDUSTRIAL","Privado",12,"Agricultura (Açúcar, Álcool e Cana)",""
"59.717.553/0001-02",2023-01-01,26034,"26034","2603","1988-11-21","MULTILASER INDUSTRIAL S.A.","Privado",12,"Comunicação e Informática","Fabricação de periféricos para equipamentos de informática"
"59.789.545/0001-71",2023-01-01,13447,"13447","1344","1988-11-29","POLPAR S.A.","Privado",12,"Emp. Adm. Part. - Sem Setor Principal","Participação em outras empresas"
"81.106.957/0001-19",2023-01-01,27278,"27278","2727","1989-01-11","DESCARBONIZE SOLUÇÕES S.A.","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Fabricação de geradores fotovoltaicos."
"60.537.263/0001-66",2023-01-01,24953,"24953","2495","1989-04-19","ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.","Privado",12,"Serviços Transporte e Logística","Outras atividades de publicidade não especificadas anteriormente gestão de ativos intangíveis não-financeiros outras atividades de serviços pessoais não especificadas anteriormente."
"25.089.509/0001-83",2023-01-01,23809,"23809","2380","1989-04-25","COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS","Privado",12,"Saneamento, Serv. Água e Gás","Implantação, a construção de sistemas e a exploração dos serviços de água potável e de esgoto sanitário nas localidades em que detiver autorização, permissão ou concessão."
"81.243.735/0001-48",2023-01-01,20362,"20362","2036","1989-05-26","POSITIVO TECNOLOGIA S.A.","Privado",12,"Comunicação e Informática","Fabricação de hardware."
"92.859.974/0001-43",2017-01-01,23183,"23183","2318","1989-06-06","ALTUS SISTEMAS DE AUTOMAÇÃO S.A.","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Desenvolvimento, fabricação e comercialização de máquinas equipamentos e componentes eletrônicos automação industrial e predial e participação no capital de outras empresas"
"32.681.371/0001-72",2023-01-01,21202,"21202","2120","1989-07-03","VIX LOGÍSTICA S.A.","Privado",12,"Serviços Transporte e Logística","Transporte Rodoviário de cargas em geral, intermunicipal, interestadual e internacional transporte coletivo rodoviário, intermunicipal, interestadual e internacional de passageiros."
"35.791.391/0001-94",2023-01-01,23302,"23302","2330","1989-09-06","QUALITY SOFTWARE S.A.","Privado",12,"Emp. Adm. Part. - Comunicação e Informática","Serviços nos Setores de informática, auditoria de sistemas softwares treinamentos,desenvolvimento de sistemas de suporte técnico hardware e software em geral design gráfico e editoração eletronica."
"93.167.658/0001-73",2014-01-01,13790,"13790","1379","1989-11-24","SDV ADM-DE SHOPPING CENTERS SA","Privado Holding",12,"Comércio (Atacado e Varejo)","Administração de Shopping Centers"
"81.616.807/0001-55",2023-01-01,27219,"27219","2721","1989-11-28","Granja Faria S.A.","Privado",12,"Alimentos","Produção e comercialização de pintos de um dia e de ovos férteis e comerciais, criação de frangos para corte, comércio varejista de hortifrutigranjeiros, restaurante."
"62.092.739/0001-28",2010-01-01,20923,"20923","2092","1989-12-29","COSAN ALIMENTOS S.A.","Privado",3,"Agricultura (Açúcar, Álcool e Cana)","Fabricação de Açúcar, Etanol e Energia Elétrica"
"39.115.514/0001-28",2023-01-01,17850,"17850","1785","1990-03-28","RUMO MALHA OESTE S.A.","Privado",12,"Serviços Transporte e Logística","Prestar serviço de transporte ferroviário de cargas e armazenagens de cargas."
"26.386.169/0001-15",2017-01-01,15890,"15890","1589","1990-06-19","MERCANTIL DO BRASIL LEASING SA","Privado",12,"Arrendamento Mercantil","Arrendamento Mercantil Financeiro"
"82.120.676/0001-83",2023-01-01,26395,"26395","2639","1990-08-01","ALMEIDA JUNIOR SHOPPING CENTERS S.A.","Privado",12,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","Empresa full service no setor de shopping centers. Suas atividades englobam a concepção, o planejamento, o desenvolvimento e a administração de shopping centers regionais e complexos imobiliários."
"65.654.303/0001-73",2023-01-01,14214,"14214","1421","1990-09-27","DIBENS LEASING S.A. - ARREND.MERCANTIL","Privado",12,"Arrendamento Mercantil","Arrendamento Mercantil"
"82.373.077/0001-71",2016-01-01,20656,"20656","2065","1990-10-01","BEMATECH IND COM EQUIP ELETRONICOS SA","Privado",12,"Comunicação e Informática","Soluções de tecnologia para o varejo, food service e hospitality."
"64.904.295/0001-03",2023-01-01,24228,"24228","2422","1990-11-09","CAMIL ALIMENTOS S.A.","Privado Holding",2,"Alimentos","Industrialização e comercialização de grãos, pescados, açúcar, massas, biscoitos e café."
"05.721.735/0001-28",2021-01-01,80047,"80047","8004","1990-12-06","WILSON SONS LTD.","Estrangeiro",12,"Serviços Transporte e Logística","Terminais Portuários, Rebocagem, Offshore, Logística, Agenciamento Marítimo e Estaleiros."
"93.828.986/0001-73",2023-01-01,13854,"13854","1385","1991-03-01","CEMEPE INVESTIMENTOS S.A.","Privado Holding",12,"Emp. Adm. Part. - Sem Setor Principal","HOLDING"
"36.461.242/0001-20",2013-01-01,21172,"21172","2117","1991-05-17","AMIL PARTICIPAÇÕES S/A","Privado Holding",12,"Serviços médicos","Operadora de Medicina de Grupo."
"67.203.208/0001-89",2012-01-01,20486,"20486","2048","1991-09-30","CAMARGO CORREA DESENVOLVIMENTO IMOBILIARIO SA","Privado Holding",12,"Construção Civil, Mat. Constr. e Decoração","Incorporação e Construção Imobiliária"
"67.010.660/0001-24",2023-01-01,20451,"20451","2045","1991-10-16","RNI NEGÓCIOS IMOBILIÁRIOS S.A.","Privado",12,"Construção Civil, Mat. Constr. e Decoração","(i) a compra e venda de imóveis (ii) o desmembramento ou loteamento de terrenos (iii) a incorporação imobiliária ou construção de imóveis destinados à venda (iv) a prestação de serviços a terceiros"
"67.437.434/0001-24",2018-01-01,20389,"20389","2038","1992-01-10","TC SECURITIES CIA DE SECURITIZAÇÃO","Privado",12,"Securitização de Recebíveis",""
"67.571.414/0001-41",2023-01-01,20702,"20702","2070","1992-02-06","VIVER INCORPORADORA E CONSTRUTORA S.A.","Privado Holding",12,"Construção Civil, Mat. Constr. e Decoração","Construção, incorporação, aquisição de créditos com lastro em ativos imobiliários, obras paradas, vendas, repasse, cobrança, assistência técnica, negociação de dívidas e processos judiciais."
"67.620.377/0001-14",2023-01-01,20931,"20931","2093","1992-03-09","MINERVA S.A.","Privado",12,"Alimentos","Líder na América do Sul na exportação de carne bovina in natura e seus derivados, e que atua também no segmento de processados."
"67.915.785/0001-01",2011-01-01,19496,"19496","1949","1992-05-11","REDFACTOR FACTORING E FOMENTO COML S/A","Privado Holding",12,"Factoring","Factoring e fomento comercial"
"48.344.725/0007-19",2023-01-01,27030,"27030","2703","1992-07-02","Althaia S.A. Indústria Farmacêutica","Privado",12,"Farmacêutico e Higiene","A Companhia dedica-se à industrialização, comercialização e distribuição de produtos farmacêuticos em geral."
"42.771.949/0001-35",2023-01-01,24058,"24058","2405","1992-08-05","ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.","Privado",12,"Serviços médicos","Prestação de serviços de medicina diagnóstica"
"68.400.225/0001-79",2023-01-01,26549,"26549","2654","1992-08-25","CLARANET TECHNOLOGY S.A.","Estrangeiro",6,"Comunicação e Informática","Prestadores de serviços de soluções de tecnologia e plataformas digitais de nova geração para comercialização entre empresas (B2B), tais como computação em nuvem, cibersegurança e dados."
"94.789.468/0001-50",2013-01-01,18279,"18279","1827","1992-09-14","RASIP AGRO PASTORIL SA","Privado",12,"Agricultura (Açúcar, Álcool e Cana)","Empresa do segmento Frutícola e Lácteo"
"89.086.144/0001-16",2023-01-01,14109,"14109","1410","1992-09-16","RANDON S.A. IMPLEMENTOS E PARTICIPACOES","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Indústria e comércio de veíc. automotores e rebocados para a movimentação e o de transporte de materiais de implem para o transp rodoviário e ferroviário e de aparelhos mecânicos, peças"
"69.720.910/0001-45",2021-01-01,15121,"15121","1512","1992-11-30","CCB BRASIL ARRENDAMENTO MERCANTIL S.A.","Privado",12,"Arrendamento Mercantil","Arrendamento Mercantil"
"84.583.137/0001-06",2016-01-01,516996,"516996","51699","1993-02-16","GRAMAZON GRANITOS DA AMAZÔNIA S.A.","Privado",12,"Extração Mineral","extração, comercialização e beneficiamento de granito, mármore e outras pedras ornamentais."
"36.542.025/0001-64",2023-01-01,23817,"23817","2381","1993-02-26","BRQ SOLUCOES EM INFORMATICA S.A.","Privado",12,"Comunicação e Informática","Prestação de Serviços de Transformação Digital com propósito de acelerar negócios através da inteligência e tecnologia da informação (TI)"
"96.298.013/0001-68",2023-01-01,25143,"25143","2514","1993-04-05","PACAEMBU CONSTRUTORA S.A.","Privado",12,"Construção Civil, Mat. Constr. e Decoração","desenvolvimento e realização de empreendimentos imobiliários, loteamentos e incorporações imobiliárias de imóveis próprios ou de terceiros"
"84.496.066/0001-04",2010-01-01,21679,"21679","2167","1993-08-27","PST ELETRÔNICA SA","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Fabricação de equipamentos para sinalização e alarme para veículos"
"73.903.718/0001-61",2023-01-01,14303,"14303","1430","1993-11-25","SNB PARTICIPACOES SA","Privado",12,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","Aluguel de Imóveis Próprios"
"71.476.527/0001-35",2023-01-01,21148,"21148","2114","1993-12-01","CONSTRUTORA TENDA S.A.","Privado",12,"Construção Civil, Mat. Constr. e Decoração",""
"73.178.600/0001-18",2023-01-01,14460,"14460","1446","1993-12-01","CYRELA BRAZIL REALTY S.A.EMPREEND E PART","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Incorporação Imobiliária"
"71.550.388/0001-42",2016-01-01,23450,"23450","2345","1993-12-13","RUMO LOGÍSTICA OPERADORA MULTIMODAL S.A.","Privado",12,"Serviços Transporte e Logística","Operações de lógistica multimodal para transporte, armazenagem e operações portuárias deaçúcar e outras produtos."
"74.409.467/0001-26",2019-01-01,15024,"15024","1502","1994-01-03","FENICIAPAR S/A","Privado",12,"Securitização de Recebíveis","Aquisição de direitos creditórios originados pela Kosmos Com. de Vestuário S/A - em rec. judicial, direitos estes, que contam com a co-obrigação da vendedora dos produtos e serviços prestados."
"00.095.147/0001-02",2011-01-01,14540,"14540","1454","1994-06-08","VBC ENERGIA SA","Privado",12,"Emp. Adm. Part. - Energia Elétrica","Participação em empresas do setor energético ou a ele vinculadas"
"00.027.742/0001-00",2010-01-01,17728,"17728","1772","1994-06-13","CBCC PARTICIPAÇÕES SA","Privado",12,"Emp. Adm. Part. - Sem Setor Principal","Participações em outras empresas e sociedades"
"00.108.786/0001-65",2014-01-01,14621,"14621","1462","1994-07-07","NET SERVIÇOS DE COMUNICAÇÃO S.A.","Privado Holding",12,"Telecomunicações","Multi-operadora de Serviços Via Cabo de TV por Assinatura , Vídeo Digital , Video em Alta Definição, Banda Larga e Voz."
"00.115.890/0001-87",2018-01-01,15733,"15733","1573","1994-07-15","SHOPPING CENTER TACARUNA SA","Privado",12,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","Securitização - Empreendimento Shopping Center Tacaruna"
"00.185.475/0001-08",2023-01-01,14680,"14680","1468","1994-08-18","PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO","Privado Holding",12,"Emp. Adm. Part. - Telecomunicações","PARTICIPAÇÃO EM OUTRAS SOCIEDADES. SOCIEDADE EM LIQUIDAÇÃO DESDE 27/12/2012, MOTIVO PELO QUAL A SITUAÇÃO DO EMISSOR É NÃO OPERACIONAL."
"00.192.769/0001-59",2023-01-01,14613,"14613","1461","1994-08-23","NEUMARKT TRADE AND FINANCIAL CENTER S/A","Privado",12,"Crédito Imobiliário","Aluguel de Imóveis próprios"
