"cnpj","dataReferencia","codigoCVM","codigoCVM2","codigoCVMsemDigito","codB3","setorCVM","dataConstituicao","dataSituacaoRegistroCVM","nomeEmpresarial","especieControleAcionario","mesEncerraExercSocial","descricaoAtividade"
"33.938.119/0001-69",2023-01-01,"16616","16616","1661","CEGR","Saneamento, Serv. Água e Gás","1969-06-02","1997-11-17","CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG","Privado",12,"Distribuição de gás natural na região metropolitana do Estado do Rio de Janeiro."
"92.934.215/0001-06",2022-01-01,"24554","24554","2455",NA,"Intermediação Financeira","1969-07-02","2018-09-27","Banrisul Soluções em Pagamentos S.A. - Instituição de Pagame","Estatal",12,"Credenciamento, captura, processamento e liquidação financeira de transações realizadas com instrumentos de pagamento e emissão de cartões pré e pós pagos administrados por meio de convênios."
"13.788.120/0001-47",2020-01-01,"4359","04359","435","ELEK","Petroquímicos e Borracha","1969-07-10","1971-08-18","ELEKEIROZ S.A.","Privado",12,"Industrialização e comercialização de produtos químicos"
"52.548.435/0001-79",2023-01-01,"22020","22020","2202","JSLG","Serviços Transporte e Logística","1969-08-05","2010-04-15","JSL S.A.","Privado Holding",12,""
"71.673.990/0001-77",2023-01-01,"19550","19550","1955","NTCO","Farmacêutico e Higiene","1969-08-28","2004-05-21","NATURA COSMETICOS S.A.","Privado",12,"Comércio Atacadista de Comércio e Produtos de Perfumaria"
"62.984.091/0001-02",2023-01-01,"25526","25526","2552","CSED","Educação","1970-07-09","2021-02-09","CRUZEIRO DO SUL EDUCACIONAL S.A.","Privado",12,"Atividades relacionadas à prestação de serviços do setor de educação e áreas associadas, administração de bens próprios e participação em outras sociedades."
"04.986.188/0001-40",2020-01-01,"511404","511404","51140",NA,"Agricultura (Açúcar, Álcool e Cana)","1970-09-21","2019-06-19","AGROINDUSTRIAL VERA CRUZ S.A.","Privado",12,""
"33.130.691/0001-05",2023-01-01,"26247","26247","2624","PORT","Emp. Adm. Part. - Serviços Transporte e Logística","1971-01-29","2021-09-29","Wilson Sons S.A.","Estrangeiro Holding",12,"Administração dos bens da Companhia e participação no capital de outras sociedades."
"89.850.341/0001-60",2023-01-01,"19615","19615","1961","GRND","Têxtil e Vestuário","1971-02-25","2004-10-26","GRENDENE S.A.","Privado Holding",12,"Fabricação de calçados em geral"
"09.116.278/0001-01",2023-01-01,"4685","04685","468",NA,"Embalagens","1971-04-16","1977-07-20","CONPEL CIA NORDESTINA PAPEL - Em Recuperação Judicial","Privado",12,"Fabricação de embalagens de Papel"
"34.265.561/0001-34",2019-01-01,"1724","01724","172",NA,"Arrendamento Mercantil","1971-05-17","1980-12-05","BMG LEASING S.A. - ARREND. MERCANTIL","Privado",12,"Arrendamento mercantil"
"16.234.627/0001-47",2018-01-01,"500160","500160","50016",NA,"Petroquímicos e Borracha","1971-06-16","1989-08-21","COMPANHIA PETROQUÍMICA DO NORDESTE","Privado",12,"Produção e comercialização de metanol, formaldeído e hexametilenotetraminaO Tipo de Participante é COMPANHIA FECHADA, contudo o sistema não permite alteração."
"45.365.558/0001-09",2023-01-01,"25763","25763","2576","VITT","Agricultura (Açúcar, Álcool e Cana)","1971-06-16","2021-04-28","VITTIA S.A.","Privado",12,"Produção de fertilizantes especiais e defensivos biológicos."
"82.508.433/0001-17",2023-01-01,"16861","16861","1686","CASN","Saneamento, Serv. Água e Gás","1971-07-02","1998-02-06","CIA CATARINENSE DE AGUAS E SANEAM.-CASAN","Estatal",12,"Atuar como instituição integrante do sistema de saneamento básico e de saúde do Estado de Santa Catarina através dos serviços de captação, tratamento e distribuição de água e tratamento de esgoto."
"07.047.251/0001-70",2023-01-01,"14869","14869","1486","COCE","Energia Elétrica","1971-07-05","1995-06-13","CIA ENERGETICA DO CEARA - COELCE","Privado",12,"Distribuição de energia elétrica."
"07.040.108/0001-57",2023-01-01,"18546","18546","1854",NA,"Saneamento, Serv. Água e Gás","1971-07-20","2000-01-19","CAGECE - CIA DE AGUA E ESGOTO DO CEARA","Estatal",12,"Captação, tratamento e distribuição de água"
"13.608.583/0001-80",2012-01-01,"9857","09857","985",NA,"Emp. Adm. Part. - Petroquímicos e Borracha","1971-08-12","1982-07-29","QGN PARTICIPAÇÕES SA","Privado",12,""
"43.185.362/0001-07",2023-01-01,"6815","06815","681","IGBR","Máquinas, Equipamentos, Veículos e Peças","1971-08-26","1973-12-19","IGB ELETRONICA S.A - EM RECUPERACAO JUDICIAL","Privado",12,"Eletroeletrônica"
"61.695.227/0001-93",2023-01-01,"14176","14176","1417","ELPL","Energia Elétrica","1971-09-08","1993-08-19","ELETROPAULO METROP. ELET. SAO PAULO S.A.","Privado",12,"Distribuição de energia elétrica"
"34.274.233/0001-02",2023-01-01,"24295","24295","2429","BRDT","Comércio (Atacado e Varejo)","1971-11-12","2017-12-12","VIBRA ENERGIA S/A","Privado",12,"Distribuição e venda de álcool carburante, biodísel, gasolina e demais derivados de petróleo, incluindo lubrificantes, assim como gás natural."
"34.274.233/0001-02",2023-01-01,"24295","24295","2429","VBBR","Comércio (Atacado e Varejo)","1971-11-12","2017-12-12","VIBRA ENERGIA S/A","Privado",12,"Distribuição e venda de álcool carburante, biodísel, gasolina e demais derivados de petróleo, incluindo lubrificantes, assim como gás natural."
"87.870.952/0001-44",2023-01-01,"26980","26980","2698",NA,"Petroquímicos e Borracha","1971-12-07","2022-10-21","Borrachas Vipal S.A.","Privado",12,"A Companhia dedica-se a fabricação, reforma e reparo de pneus."
"87.043.832/0001-73",2023-01-01,"10561","10561","1056",NA,"Reflorestamento","1971-12-29","1981-12-11","SEIVA S.A. - FLORESTAS E INDÚSTRIAS","Privado",12,""
"42.150.391/0001-70",2023-01-01,"4820","04820","482","BRKM","Petroquímicos e Borracha","1972-01-12","1978-12-18","BRASKEM S.A.","Privado",12,"Produção de produtos químicos, utilidades, energia elétrica e outrosprestação de serviços industriaisparticipação em outras sociedadeslocação de bens representação/consignação de produtos químicos"
"43.283.811/0001-50",2023-01-01,"25631","25631","2563",NA,"Comércio (Atacado e Varejo)","1972-05-16","2021-03-08","Kalunga S.A","Privado",12,"Atividade de comércio atacadista e varejista de papelaria, artigos escolares, materiais para escritório,produtos de informática, além da prestação de serviços de gráfica rápida."
"43.358.647/0001-00",2010-01-01,"20273","20273","2027","MEDI","Serviços médicos","1972-05-17","2006-09-19","MEDIAL SAUDE S/A","Privado",12,"Operadora de Medicina de Grupo"
"43.425.008/0001-02",2012-01-01,"14052","14052","1405",NA,"Arrendamento Mercantil","1972-07-28","1992-12-01","BFB LEASING S.A. ARRENDAMENTO MERCANTIL","Privado",12,"Arrendamento Mercantil"
"16.590.234/0001-76",2023-01-01,"22349","22349","2234","ARZZ","Têxtil e Vestuário","1972-09-01","2011-01-31","AREZZO INDÚSTRIA E COMÉRCIO S.A.","Privado Holding",12,"O principal ramo de atividade da Companhia é a industrialização e a comercialização de artigos de couro e de plástico em geral, incluindo sapatos, bolsas e acessórios."
"25.869.736/0001-21",2013-01-01,"2062","02062","206","CAFE","Alimentos","1972-09-15","1977-07-20","CAFE SOLUVEL BRASILIA SA","Privado",12,"PRODUÇÃO E INDUSTRIALIZAÇÃO DE CAFE SOLUVEL E ALIMENTOS"
"00.336.701/0001-04",2023-01-01,"11258","11258","1125","TELB","Telecomunicações","1972-11-09","1981-01-21","TELEC BRASILEIRAS S.A. TELEBRAS","Estatal",12,"Consecução e execução das Políticas Públicas de Telecomunicação (Decreto 9.612/2018)."
"33.040.601/0001-87",2023-01-01,"8540","08540","854","MERC","Bancos","1972-12-12","1977-07-20","Creditaqui Financeira S.A. - C.F.I.","Privado",12,"Crédito, Financiamento e Investimento"
"13.552.070/0001-02",2011-01-01,"9784","09784","978","PNOR","Emp. Adm. Part. - Embalagens","1973-02-19","1976-12-23","PRONOR PETROQUIMICA SA","Privado Holding",12,"Produção e comercialização de embalagens plásticas através de empresas controladas."
"34.169.557/0001-72",2023-01-01,"1309","01309","130","BMIN","Bancos","1973-04-09","1977-07-20","BCO MERCANTIL DE INVESTIMENTOS S.A.","Privado",12,"Investimentos / Financiamentos"
"75.609.123/0001-23",2023-01-01,"23280","23280","2328",NA,"Serviços Transporte e Logística","1973-05-29","2013-11-14","Unidas Locações e Serviços S.A.","Privado Holding",12,"Locação de veículos e de equipamentos, com ou sem a cessão de operador gestão e administração de veículos, máquinas e equipamentos de terceiros, dentre outras atividades correlatas."
"42.278.473/0001-03",2023-01-01,"23590","23590","2359","WIZC","Seguradoras e Corretoras","1973-07-05","2015-05-11","WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.","Privado",12,"Corretagem de seguros de todos os ramos, assessoria e consultoria na área de seguros em geral, intermediação e desenvolvimento de soluções em negócios, sem especificação definida, dentre outros."
"42.278.473/0001-03",2023-01-01,"23590","23590","2359","WIZS","Seguradoras e Corretoras","1973-07-05","2015-05-11","WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.","Privado",12,"Corretagem de seguros de todos os ramos, assessoria e consultoria na área de seguros em geral, intermediação e desenvolvimento de soluções em negócios, sem especificação definida, dentre outros."
"42.278.291/0001-24",2023-01-01,"20710","20710","2071","LOGN","Serviços Transporte e Logística","1973-09-04","2007-06-04","LOG-IN LOGISTICA INTERMODAL S.A.","Privado",12,"A Log-In oferece soluções logísticas integradas através do transporte marítimo em navios porta-contêineres, terminal portuário, terminais intermodais e transporte rodoviário de curta distância."
"43.776.517/0001-80",2023-01-01,"14443","14443","1444","SBSP","Saneamento, Serv. Água e Gás","1973-09-06","1994-06-27","CIA SANEAMENTO BASICO EST SAO PAULO","Estatal",12,"Abastecimento de água, esgotamento sanitário, drenagem e manejo de águas pluviais urbanas, limpeza urbana, manejo de resíduos sólidos e energia."
"16.670.085/0001-55",2023-01-01,"19739","19739","1973","RENT","Serviços Transporte e Logística","1973-09-28","2005-05-06","Localiza Rent a Car S.A.","Privado",12,"Aluguel de carros e gestão de frotas"
"16.676.520/0001-59",2023-01-01,"25690","25690","2569","MATD","Serviços médicos","1973-10-15","2021-04-14","HOSPITAL MATER DEI S.A.","Privado",12,""
"87.456.562/0001-22",2023-01-01,"13285","13285","1328","JOPA","Emp. Adm. Part. - Alimentos","1973-11-13","1988-03-04","JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP","Privado",12,"Beneficiamento de Arroz e Participações"
"82.901.000/0001-27",2023-01-01,"25453","25453","2545","INTB","Comércio (Atacado e Varejo)","1974-01-11","2021-02-02","Intelbras S.A. Ind. de Telecomunicação Eletrônica Brasileira","Privado",12,"A Companhia tem como atividade principal a exploração da indústria de eletrônicos."
"42.331.462/0001-31",2023-01-01,"15458","15458","1545","BTTL","Emp. Adm. Part. - Sem Setor Principal","1974-08-01","1996-03-14","EMBPAR PARTICIPAÇÕES S/A","Privado Holding",12,"Com.de caminhões e ônibus SCANIA, seus acessórios e prest.serv.assist.técnica Industrializ.e com. de madeiras Prestação de serviços sob a forma de trading company Partic. em outras sociedades."
"42.331.462/0001-31",2023-01-01,"15458","15458","1545","EPAR","Emp. Adm. Part. - Sem Setor Principal","1974-08-01","1996-03-14","EMBPAR PARTICIPAÇÕES S/A","Privado Holding",12,"Com.de caminhões e ônibus SCANIA, seus acessórios e prest.serv.assist.técnica Industrializ.e com. de madeiras Prestação de serviços sob a forma de trading company Partic. em outras sociedades."
"46.119.855/0001-37",2023-01-01,"16241","16241","1624",NA,"Saneamento, Serv. Água e Gás","1974-08-28","1997-04-29","SOCIEDADE ABASTECIMENTO DE ÁGUA E SANEAMENTO S.A - SANASA","Estatal",12,"Planejar, executar e operar serviços públicos de abastecimento e tratamento de água e coleta eafastamento de esgotos sanitários no Município de Campinas."
"00.383.281/0001-09",2023-01-01,"16772","16772","1677",NA,"Emp. Adm. Part. - Sem Setor Principal","1974-09-04","1998-01-14","BNDES PARTICIPACOES S.A. - BNDESPAR","Estatal",12,""
"07.281.413/0001-30",2011-01-01,"5878","05878","587",NA,"Metalurgia e Siderurgia","1975-03-27","1975-12-11","FAE - FERRAGENS APARELHOS ELÉTRICOS S/A","Privado",12,"Fabricação de aparelhos e equipamentos para distribuição e contorle de energia eletrica."
"33.352.394/0001-04",2023-01-01,"16373","16373","1637",NA,"Saneamento, Serv. Água e Gás","1975-08-01","2010-01-04","CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE","Estatal",12,"Exploração de serviços públicos e de sistemas privados de abastecimento de água , de coleta, remoção e destinação final de efluentes e seus subprodutos."
"47.193.149/0001-06",2019-01-01,"20559","20559","2055",NA,"Arrendamento Mercantil","1975-10-01","2007-03-19","SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL","Privado",12,"A Companhia tem por objetivo a prática de operações de arrendamento mercantil, permitidas às entidades da espécie nas disposições legais e regulamentares em vigor."
"19.296.342/0001-29",2021-01-01,"22942","22942","2294",NA,"Emp. Adm. Part. - Sem Setor Principal","1976-08-19","2012-09-04","MGI - MINAS GERAIS PARTICIPAÇÕES S.A.","Estatal",12,"(i)participação acionária em empresas(ii) promover associações de empresas(iii) prestar apoio técnico e de gestão administrativa e (iv)realizar operações de aquisição de créditos do Estado de MG."
"14.308.514/0001-13",2021-01-01,"1597","01597","159",NA,"Emp. Adm. Part. - Sem Setor Principal","1976-10-26","1983-12-12","PARTICIPAÇÕES INDUST. DO NORDESTE S.A.","Privado Holding",12,"Participação no capital de outras sociedades e prestação de serviços."
"19.403.252/0001-90",2023-01-01,"25909","25909","2590",NA,"Construção Civil, Mat. Constr. e Decoração","1977-01-28","2021-05-20","EMCCAMP RESIDENCIAL S.A.","Privado",12,"Construção e incorporação de prédios, construção civil em geral, promoção de loteamento e urbanização de áreas, compra e venda de imóveis, entre outros."
"19.378.769/0001-76",2023-01-01,"24090","24090","2409","PARD","Serviços médicos","1977-02-02","2017-02-10","INSTITUTO HERMES PARDINI S.A.","Privado",12,"Prestação de serviços de medicina diagnóstica."
"19.443.985/0001-58",2011-01-01,"14028","14028","1402","FFTL","Petroquímicos e Borracha","1977-02-14","1992-08-11","VALE FERTILIZANTES S.A.","Privado",12,"Fabricação de fertilizantes e outros produtos para a agricultura por meio do aproveitamento de jazidas minerais próprias e, ainda, o comércio, o transporte, a exportação e a importação desses produtos"
"14.388.334/0001-99",2023-01-01,"20729","20729","2072","PRBC","Bancos","1977-04-25","2007-06-11","PARANA BCO S.A.","Privado",12,"Banco múltiplo com carteira de crédito, financiamento e investimentos."
"89.096.457/0001-55",2023-01-01,"20745","20745","2074","SLCE","Agricultura (Açúcar, Álcool e Cana)","1977-06-03","2007-06-12","SLC AGRICOLA S.A.","Privado",12,"Produção e comercialização de algodão, soja, milho, entre outros."
"61.192.373/0001-04",2016-01-01,"4758","04758","475","COBE","Construção Civil, Mat. Constr. e Decoração","1977-07-20","2015-06-25","CONSTRUTORA BETER SA","Privado",12,"Construção de Obras de arte especiais."
"49.263.189/0001-02",2023-01-01,"20877","20877","2087","HBOR","Construção Civil, Mat. Constr. e Decoração","1977-10-20","2007-07-09","HELBOR EMPREENDIMENTOS S.A.","Privado",12,"Incorporação de Imoveis"
"05.441.787/0001-40",2018-01-01,"512729","512729","51272",NA,"Hospedagem e Turismo","1977-12-16","2009-08-21","NORTE HOTELARIA S.A.","Privado",12,""
"83.475.913/0001-91",2023-01-01,"13773","13773","1377","PTBL","Construção Civil, Mat. Constr. e Decoração","1977-12-22","1991-01-04","PBG S/A","Privado",12,""
"29.978.814/0001-87",2022-01-01,"21121","21121","2112","SULA","Emp. Adm. Part. - Seguradoras e Corretoras","1978-03-13","2007-10-03","SUL AMERICA S.A.","Privado",12,"A Sul América S.A. é uma sociedade de participação e suas controladas atuam nos setores de seguros, previdência complementar, administração de recursos e assistência à saúde."
"29.980.141/0001-08",2023-01-01,"26956","26956","2695",NA,"Emp. Adm. Part. - Petróleo e Gás","1978-05-02","2022-09-21","Oceânica Engenharia e Consultoria S.A.","Privado",12,"Prestação de serviços de engenharia submarina, inspeção, intervenção e monitoramento de estruturas submarinas e subaquáticas para a indústria de óleo e gás e energia renovável."
"89.637.490/0001-45",2023-01-01,"12653","12653","1265","KLBN","Papel e Celulose","1978-11-08","1997-08-06","KLABIN S.A.","Privado",12,"Empresa brasileira de base florestal. Produtora de papéis e cartões para embalagens, embalagens de papelão ondulado e sacos industriais, além de ser recicladora e produtora de toras para serrarias."
"89.547.269/0001-04",2018-01-01,"12858","12858","1285",NA,"Comunicação e Informática","1978-11-27","1986-06-20","DIGITEL SA INDUSTRIA ELETRONICA","Privado",12,""
"15.413.826/0001-50",2023-01-01,"5576","05576","557","ENER","Energia Elétrica","1979-01-01","1981-08-28","ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.","Privado",12,"Distribuição de energia elétrica"
"30.306.294/0001-45",2023-01-01,"22616","22616","2261","BPAC","Bancos","1979-01-18","2011-11-10","BCO BTG PACTUAL S.A.","Privado",12,"A Companhia e suas controladas formam um grupo de prestação de serviços financeirossediado no Brasil, atuando como banco múltiplo, com carteira de investimento, nos termos dalegislação aplicável."
"51.218.147/0001-93",2023-01-01,"20494","20494","2049","IGTA","Comércio (Atacado e Varejo)","1979-05-23","2007-02-02","IGUATEMI EMPRESA DE SHOPPING CENTERS S.A","Privado",12,"Empresa full service no setor de shopping centers. Suas atividades englobam a concepção, oplanejamento, o desenvolvimento e a administração de shopping centers regionais e complexosimobiliários."
"14.807.945/0001-24",2023-01-01,"12696","12696","1269","SNSY","Petroquímicos e Borracha","1979-10-03","1986-05-06","SANSUY S.A. INDUSTRIA DE PLASTICOS","Privado",12,"INDÚSTRIA E COMÉRCIO DE ARTEFATOS PLÁSTICOS"
"51.128.999/0001-90",2023-01-01,"21334","21334","2133","NUTR","Agricultura (Açúcar, Álcool e Cana)","1979-10-16","2008-02-11","NUTRIPLANT INDUSTRIA E COMERCIO S.A.","Privado",12,"Industria e comércio de fertilizantes para agricultura."
"59.981.829/0001-65",2023-01-01,"25801","25801","2580","RBNS","Máquinas, Equipamentos, Veículos e Peças","1979-11-19","2021-05-06","Rodobens SA","Privado Holding",12,"(i) a participação no capital social de outras sociedades (ii) a alocação e a gestão de recursos próprios e (iii) a consultoria estratégica e de gestão de negócios."
"43.470.988/0001-65",2023-01-01,"20524","20524","2052","EVEN","Construção Civil, Mat. Constr. e Decoração","1980-05-05","2007-03-02","EVEN CONSTRUTORA E INCORPORADORA S.A.","Privado",12,"Construção, incorporação e loteamento."
"30.723.886/0001-62",2023-01-01,"25755","25755","2575","MODL","Bancos","1980-07-29","2021-04-28","BANCO MODAL S.A.","Privado",12,"A Companhia tem por objeto social a prestação de serviços de banco múltiplo, nas carteiras comercial e de investimento, bem com realização de operações no mercado de câmbio."
"89.463.822/0001-12",2023-01-01,"20060","20060","2006","LUPA","Máquinas, Equipamentos, Veículos e Peças","1980-08-08","2006-05-08","LUPATECH S.A","Privado",12,"Fabricante de equipamentos e provedor de serviços para o setor de Petróleo e Gás."
"75.315.333/0001-09",2023-01-01,"24171","24171","2417","CRFB","Emp. Adm. Part. - Comércio (Atacado e Varejo)","1980-08-13","2017-07-18","ATACADÃO S.A.","Estrangeiro",12,"Comércio varejista e atacadista de mercadorias em geral Carga e descarga Correspondentes de instituições financeiras Atividades de teleatendimento Serviços de Alimentação entre outros"
"44.689.123/0001-57",2013-01-01,"12220","12220","1222","UCOP","Agricultura (Açúcar, Álcool e Cana)","1980-10-07","1985-01-16","USINA COSTA PINTO SA ACUC ALC","Privado",3,"Distribuição de combustíveis em geral, a importação, a exportação, a produção e a comercialização de açúcar, de álcool, de cana-de-açúcar e demais derivados destes a navegação exploração agrícola."
"02.635.522/0001-95",2023-01-01,"25496","25496","2549","JALL","Agricultura (Açúcar, Álcool e Cana)","1980-11-28","2021-02-04","Jalles Machado S.A.","Privado",3,"Exploração agrícola industrial e comercial em todas as suas modalidades, especialmente no que diz respeito à produção de cana-de-açúcar, seus subprodutos, em especial do açúcar e do álcool."
"27.093.558/0001-15",2023-01-01,"22012","22012","2201","MILS","Serviços Transporte e Logística","1980-12-01","2010-04-14","MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.","Privado Holding",12,"Locação e venda de peças, máquinas e equipamentos pesados"
"45.242.914/0001-05",2023-01-01,"24848","24848","2484","CEAB","Têxtil e Vestuário","1981-01-12","2019-10-24","C&A Modas S.A.","Privado",12,"Atuação no varejo nos setores de vestuário, acessórios, calçados, higiene, eletrônicos, dentre outros."
"16.614.075/0001-00",2023-01-01,"21350","21350","2135","DIRR","Construção Civil, Mat. Constr. e Decoração","1981-02-19","2008-02-29","DIRECIONAL ENGENHARIA S.A.","Privado Holding",12,"Incorporação, construção e comercialização de imóveis próprios ou de terceiros e prestação de serviços de engenharia."
"06.626.253/0001-51",2023-01-01,"22608","22608","2260","PGMN","Comércio (Atacado e Varejo)","1981-05-19","2011-10-21","EMPREENDIMENTOS PAGUE MENOS S.A.","Privado",12,"Comércio de produtos farmacêuticos, perfumarias e afins, sem manipulação de fórmulas."
"87.762.563/0001-03",2023-01-01,"3298","03298","329","HBTS","Emp. Adm. Part. - Crédito Imobiliário","1981-09-28","1982-04-19","CIA HABITASUL DE PARTICIPACOES","Privado",12,"Participação em sociedades, civis ou comerciais prestação de serviços técnicos de planejamento, organização e estruturação de empresas ou grupos empresariais."
"47.509.120/0001-82",2023-01-01,"19640","19640","1964",NA,"Arrendamento Mercantil","1981-10-15","2004-11-24","BRADESCO LEASING S.A. ARREND MERCANTIL","Privado",12,"Prática das operações de arrendamento mercantil, observadas as disposições da legislação em vigor."
"47.508.411/0001-56",2023-01-01,"14826","14826","1482","PCAR","Comércio (Atacado e Varejo)","1981-11-10","1995-04-04","CIA BRASILEIRA DE DISTRIBUICAO","Privado",12,"Comércio Varejista"
"49.669.856/0001-43",2023-01-01,"21440","21440","2144","LLIS","Emp. Adm. Part. - Comércio (Atacado e Varejo)","1982-04-19","2008-04-18","VESTE S.A. ESTILO","Privado",12,"(a) confecção de produtos em geral, através de terceiros (b) importação e exportação (c) exploração de comércio e indústria de confecção de produtos em geral."
"49.669.856/0001-43",2023-01-01,"21440","21440","2144","VSTE","Emp. Adm. Part. - Comércio (Atacado e Varejo)","1982-04-19","2008-04-18","VESTE S.A. ESTILO","Privado",12,"(a) confecção de produtos em geral, através de terceiros (b) importação e exportação (c) exploração de comércio e indústria de confecção de produtos em geral."
"15.527.906/0001-36",2021-01-01,"22845","22845","2284","BSEV","Agricultura (Açúcar, Álcool e Cana)","1982-09-01","2012-07-12","BIOSEV S.A.","Privado",3,"Produção, processamento, industrialização, distribuição e comercialização de cana-de-açúcar e seus derivados, açúcar e etanol entre outros."
"51.928.174/0001-50",2023-01-01,"13471","13471","1347","PLAS","Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças","1983-08-23","1989-04-19","PLASCAR PARTICIPACOES INDUSTRIAIS S.A.","Privado",12,"Participação em outras empresas"
"70.216.429/0001-04",2015-01-01,"518700","518700","51870",NA,"Agricultura (Açúcar, Álcool e Cana)","1983-11-08","2014-08-06","BRAMEX - BRASIL MERCANTIL S.A.","Privado",12,"Criação de camarões em água salgada e salobra, Criação de camarões em água doce."
"53.113.791/0001-22",2023-01-01,"19992","19992","1999","TOTS","Comunicação e Informática","1983-12-13","2006-03-07","TOTVS S.A.","Privado",12,"Prestação de serviços de consultoria, assessoria e desenvolvimento de sistemas informatizados (software), atividades de pesquisa e inovação tecnológica, prestação de serviços relacionados à gestão."
"07.334.600/0001-35",2023-01-01,"16268","16268","1626",NA,"Hospedagem e Turismo","1983-12-21","1997-05-14","MARINA DE IRACEMA PARK SA","Privado",12,"RAMO TURISTICO, DE HOTELARIA EM GERAL, SERVICOS DE ANCORADOURO E ACOSTAMENTO DE EMBARCACOES DE RECREIO E SERVICO DE SUPRIMENTO AS TRIPUILACOES DAS EMBARCACOES"
"28.195.667/0001-06",2023-01-01,"20958","20958","2095","ABCB","Bancos","1983-12-27","2007-07-23","BCO ABC BRASIL S.A.","Estrangeiro Holding",12,"O Banco tem por objeto a prática de operações ativas, passivas e acessórias inerentes às respectivas carteiras autorizadas pelo Banco Central do Brasil."
"33.937.681/0003-30",2011-01-01,"80128","80128","8012",NA,"Serviços Transporte e Logística","1983-12-30","2011-09-02","Lan Airlines S.A.","Estrangeiro",12,"Transporte de passageiros e transporte de carga."
"33.937.681/0001-78",2016-01-01,"80128","80128","8012",NA,"Serviços Transporte e Logística","1983-12-30","2011-09-02","LATAM AIRLINES GROUP S.A.","Estrangeiro",12,"Transporte de passageiros e transporte de carga."
"53.518.684/0001-84",2015-01-01,"19755","19755","1975",NA,"Arrendamento Mercantil","1984-02-29","2005-06-06","HSBC LEASING ARRENDAMENTO MERCANTIL (BRASIL) S/A","Privado",12,"Prática de todas as operações de arrendamento mercantil, permitidas pela Lei nº 6099, de 12 de setembro de 1974 com as alterações introduzidas pela Lei nº 7132, de 26.10.83, de bens móveis e imóveis d"
"90.076.886/0001-40",2023-01-01,"13765","13765","1376","MNPR","Emp. Adm. Part. - Alimentos","1984-08-01","1990-12-21","MINUPAR PARTICIPACOES S.A.","Privado",12,"Participação em outras empresas, bem como criação, abate, industrialização, comercialização,importação e exportação de carnes e produtos derivados de aves, e prestação de serviços aterceiros."
"53.790.218/0001-53",2017-01-01,"12262","12262","1226","LFFE","Emp. Adm. Part. - Telecomunicações","1984-09-11","1985-01-04","JPSP INVESTIMENTOS E PARTICIPAÇÕES S/A","Privado",12,""
"00.080.671/0001-00",2023-01-01,"26190","26190","2619",NA,"Alimentos","1984-12-28","2021-09-15","CARAMURU ALIMENTOS S.A.","Privado",12,"Industrialização, produção, beneficiamento, processamento, comercialização exportação e importação de: cereais, sementes e frutos oleaginosos, insumos agropecuários e Biocombustíveis."
"29.780.061/0001-09",2023-01-01,"13781","13781","1378","SCAR","Emp. Adm. Part. - Sem Setor Principal","1985-01-22","1991-03-25","SAO CARLOS EMPREEND E PARTICIPACOES S.A.","Privado",12,"Compra e venda de imóveis prontos ou a construir locação de bens imóveis administração de empreendimentos imobiliários próprios ou de terceiros exercício de outras atividades correlatas e outros"
"00.994.533/0001-36",2017-01-01,"15652","15652","1565",NA,"Serviços Transporte e Logística","1985-03-12","1996-07-18","COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO","Privado",12,"Transporte Multimodal de Cargas e Comércio"
"14.388.520/0001-28",2014-01-01,"80144","80144","8014",NA,"Petróleo e Gás","1985-04-10","2011-12-23","Pacific Rubiales Energy Corp.","Privado",12,"A Companhia tem como principal atividade a exploração, desenvolvimento e produção de petróleo e gás natural na Colômbia, Peru e Guatemala, sendo a maior companhia independente da Colômbia neste setor."
"07.636.657/0001-99",2023-01-01,"26425","26425","2642",NA,"Metalurgia e Siderurgia","1985-05-07","2021-11-29","Aço Verde do Brasil S.A","Privado",12,"Industrialização, comercialização, inclusive importação e exportação de produtos siderúrgicos, em especial aço e ferro gusa em todas as suas formas e seus subprodutos."
"29.388.352/0001-48",2012-01-01,"12840","12840","1284","REEM","Metalurgia e Siderurgia","1985-05-22","1986-06-12","RIMET EMPREEND. INDS. E COMERCIAIS S/A","Privado",12,"FABRICAÇÃO DE EMBALGENS METALICAS PARA ACONDICIONAMENTO DE ALIMENTOS, PRODUTOS QUIMICOS, ENTRE OUTROS."
"54.526.082/0001-31",2019-01-01,"12530","12530","1253","ITEC","Comunicação e Informática","1985-06-01","1985-11-14","ITAUTEC S.A. - GRUPO ITAUTEC","Privado Holding",12,"Participação em outras sociedades no País e no exterior, em especial naquelas que atuam na fabricação e comercialização de equipamentos de automações bancária e comercial e na prestação de serviços"
